noun_id,class_key,nouns,relevant
58,coffee,"['coffee', 'coffee:scoop', 'pod:coffee', 'bean:coffee', 'ground:coffee', 'scoop:coffee', 'spill:coffee', 'grounds', 'ground']",True
59,filter,"['filter', 'filter:water', 'filter:coffee', 'filter:empty', 'filter:sink', 'paper:filter', 'catcher:sink', 'stud']",True
60,jar,"['jar', 'jar:sugar', 'jar:coffee', 'jar:filter', 'jar:salt', 'jar:honey']",True
61,rack:drying,"['rack:drying', 'rack', 'rack:dish', 'drainer']",False
62,chicken,"['chicken', 'thigh:chicken', 'breast:chicken', 'piece:chicken', 'breast']",True
63,tray,"['tray', 'tray:baking', 'pan:baking', 'tray:pizza', 'tin:baking', 'base:tin']",True
64,mixture,"['mixture', 'mix']",True
65,towel,"['towel', 'towel:tea']",True
66,towel:kitchen,"['towel:kitchen', 'towel:paper', 'roll:kitchen']",True
67,peach,"['peach', 'slice:peach']",True
68,skin,"['skin', 'skin:onion', 'skin:potato', 'peel', 'peel:onion', 'peeling', 'peeling:onion', 'peeling:carrot', 'rind', 'skin:squash', 'skin:carrot', 'skin:banana']",True
69,courgette,"['courgette', 'piece:courgette']",True
70,liquid:washing,"['liquid:washing', 'liquid:cleaning', 'detergent', 'degreaser', 'cleanser', 'spray', 'cleaner', 'washing:dish', 'product']",False
71,liquid,['liquid'],True
72,leaf,"['leaf', 'leaf:lettuce', 'leaf:salad', 'leaf:spinach', 'leaf:bay']",True
73,lettuce,"['lettuce', 'rocket']",True
74,leaf:mint,"['leaf:mint', 'leaf:curry']",True
75,cutlery,"['cutlery', 'knife:fork', 'silverware', 'tableware']",False
76,scissors,"['scissors', 'scissor']",True
77,package,"['package', 'package:cheese', 'package:bread', 'package:cooky', 'package:popcorn', 'package:mozzarella', 'package:parsley', 'package:salad', 'package:pasta', 'packaging', 'packaging:salad', 'packaging:bread', 'packet', 'pack:cheese', 'pack', 'pack:tortilla', 'pack:tea', 'carton:egg', 'wrapper', 'plastic', 'package:sausage', 'package:cookies', 'pack:soup', 'package:bacon', 'pack:oat', 'carton', 'packet:beef', 'packet:tea', 'package:meat', 'sachet', 'packet:cookies', 'packet:cheese', 'carton:milk', 'sachet:flavour', 'packet:sausage', 'package:cream', 'package:salt', 'pack:salad', 'pack:meat', 'pack:pasta', 'package:fajita', 'package:wrap', 'package:spice', 'package:egg', 'cardboard', 'wrapping']",True
78,top,"['top', 'top:counter', 'top:stove', 'surface', 'surface:hob', 'surface:wipe', 'counter', 'counter:kitchen', 'side', 'top:kitchen', 'tile']",False
79,spice,['spice'],True
80,tortilla,['tortilla'],True
81,paper,"['paper', 'paper:baking', 'paper:cooking', 'letter']",True
82,machine:washing,"['machine:washing', 'machine', 'washer', 'machine:washer', 'door:machine']",False
83,olive,['olive'],True
84,sausage,"['sausage', 'chorizo']",True
85,glove:oven,"['glove:oven', 'glove', 'mitt', 'mitt:oven', 'mitten']",True
86,peeler:potato,"['peeler:potato', 'peeler', 'skinner:carrot', 'skinner', 'peeler:carrot']",True
87,can,"['can', 'tin', 'tin:tomato']",True
88,mat,"['mat', 'mat:place', 'board:eating', 'placemat']",True
89,mat:sushi,['mat:sushi'],True
90,vegetable,['vegetable'],True
91,wrap:plastic,"['wrap:plastic', 'foil:transparent', 'film:cling', 'film']",True
92,wrap,['wrap'],True
93,flour,"['flour', 'mixture:flour', 'powder:flour']",True
94,cucumber,['cucumber'],True
95,curry,"['curry', 'curry:fish', 'masala:bean', 'paneer:saag', 'masala']",True
96,cereal,"['cereal', 'shreddies', 'granola', 'bowl:cereal']",True
97,napkin,['napkin'],False
98,soap,['soap'],False
99,squash,['squash'],True
100,fish,"['fish', 'piece:fish', 'skin:fish', 'fragment:fish', 'skin:salmon']",True
101,chilli,"['chilli', 'chilli:chop', 'chilli:red', 'chilli:slice', 'pepper:chilli']",True
102,cover,"['cover', 'cover:plastic', 'cover:plate', 'cover:dish']",False
103,sugar,['sugar'],True
104,aubergine,['aubergine'],True
105,jug,"['jug', 'jug:measuring', 'pitcher', 'carafe', 'carafe:rinse']",True
106,heat,"['heat', 'temperature', 'temperature:gas', 'temperature:cooker', 'heat:cooker', 'temp']",True
107,leek,"['leek', 'piece:leek']",True
108,rubbish,"['rubbish', 'trash', 'garbage', 'waste']",False
109,ladle,['ladle'],True
110,mushroom,['mushroom'],True
111,stock,"['stock', 'cube:stock']",True
112,freezer,['freezer'],True
113,light,['light'],False
114,pizza,"['pizza', 'slice:pizza']",True
115,ball,['ball'],False
116,yoghurt,['yoghurt'],True
117,chopstick,"['chopstick', 'stick:chop']",True
118,grape,['grape'],True
119,ginger,"['ginger', 'piece:ginger', 'galangal', 'root:galangal']",True
120,banana,['banana'],True
121,oregano,['oregano'],True
122,tuna,"['tuna', 'mixture:tuna']",True
123,kitchen,['kitchen'],False
124,salmon,['salmon'],True
125,basket,"['basket', 'hamper']",False
126,maker:coffee,"['maker:coffee', 'v60', 'cafetiere', 'cafetiere:rinse', 'maker', 'machine:coffee', 'pot:moka', 'pot:mocha', 'moka']",True
127,roll,['roll'],True
128,brush,"['brush', 'brusher', 'brush:pastry', 'broom', 'wool', 'wool:steel']",True
129,lemon,"['lemon', 'slice:lemon']",True
130,clothes,"['clothes', 'laundry', 'washing:washing', 'washing']",False
131,grater,"['grater', 'grater:cheese']",True
132,strainer,"['strainer', 'strainer:mesh', 'sieve']",True
133,bacon,['bacon'],True
134,avocado,['avocado'],True
135,blueberry,['blueberry'],True
136,pesto,['pesto'],True
137,utensil,"['utensil', 'skimmer']",True
138,bean:green,"['bean:green', 'bean']",True
139,floor,['floor'],False
140,lime,"['lime', 'piece:lime']",True
141,foil,"['foil', 'foil:kitchen', 'foil:aluminium']",True
142,grill,['grill'],True
143,ingredient,"['ingredient', 'ingredient:pan']",True
144,scale,"['scale', 'system:weighing', 'scales', 'balance']",True
145,paste:garlic,"['paste:garlic', 'paste:miso', 'paste', 'paste:shrimp', 'paste:pepper', 'paste:nut']",True
146,processor:food,"['processor:food', 'processor', 'bit:processor']",True
147,nut:pine,"['nut:pine', 'nut', 'peanut', 'pine']",True
148,butter,['butter'],True
149,butter:peanut,['butter:peanut'],True
150,shelf,"['shelf', 'shelf:utensil']",False
151,timer,"['timer', 'timer:oven']",True
152,rinse,['rinse'],False
153,tablecloth,['tablecloth'],False
154,switch,['switch'],False
155,powder:coconut,"['powder:coconut', 'powder:curry', 'powder:baking', 'powder', 'powder:garlic']",True
156,powder:washing,"['powder:washing', 'persil']",True
157,capsule,"['capsule', 'capsule:empty']",True
158,oat,['oat'],True
159,tofu,"['tofu', 'curd:bean', 'curd']",True
160,lighter,['lighter'],False
161,corn,"['corn', 'corn:sweet', 'cob:corn', 'cob', 'corncob', 'sweetcorn']",True
162,vinegar,"['vinegar', 'reduction:balsamic', 'vinegar:wine', 'vinegar:rice', 'reduction']",True
163,grinder,"['grinder', 'grinder:coffee']",True
164,cap,"['cap', 'cap:sink']",False
165,support,"['support', 'support:pan', 'trivet']",False
166,cream,"['cream', 'fraiche:creme', 'fraiche']",True
167,content,"['content', 'content:pan']",False
168,tongs,"['tongs', 'tong']",True
169,pie,"['pie', 'pastry']",True
170,fan:extractor,"['fan:extractor', 'fan', 'ventilator', 'hood']",False
171,raisin,['raisin'],True
172,toaster,['toaster'],True
173,broccoli,['broccoli'],True
174,pin:rolling,"['pin:rolling', 'pin']",True
175,plug,"['plug', 'socket']",False
176,button,['button'],False
177,tea,"['tea', 'bag:tea', 'teabag']",True
178,parsley,['parsley'],True
179,flame,['flame'],True
180,herb,['herb'],True
181,base,"['base', 'base:pizza']",True
182,holder:filter,"['holder:filter', 'holder:pot', 'holder', 'holder:jug']",True
183,thyme,['thyme'],True
184,honey,['honey'],True
185,celery,['celery'],True
186,kiwi,['kiwi'],True
187,tissue,['tissue'],False
188,time,"['time', 'time:cooking']",False
189,clip,"['clip', 'clip:bag']",False
190,noodle,['noodle'],True
191,yeast,['yeast'],True
192,hummus,"['hummus', 'humus']",True
193,coconut,['coconut'],True
194,cabbage,['cabbage'],True
195,spinach,['spinach'],True
196,nutella,['nutella'],True
197,fruit,['fruit'],True
198,dressing:salad,"['dressing:salad', 'dressing']",True
199,omelette,"['omelette', 'tamagoyaki', 'frittata']",True
200,kale,['kale'],True
201,paella,['paella'],True
202,chip,['chip'],True
203,opener:bottle,"['opener:bottle', 'opener:can', 'corkscrew', 'opener']",True
204,shirt,"['shirt', 't', 'shirt:tee']",False
205,chair,['chair'],False
206,sandwich,['sandwich'],True
207,burger:tuna,"['burger:tuna', 'patty', 'patty:tuna', 'burger', 'hamburger']",True
208,pancake,['pancake'],True
209,leftover,"['leftover', 'food:leftover']",True
210,risotto,['risotto'],True
211,pestle,['pestle'],True
212,sock,['sock'],False
213,pea,['pea'],True
214,apron,['apron'],True
215,juice,"['juice', 'juice:lemon']",True
216,wine,['wine'],True
217,dust,['dust'],False
218,desk,['desk'],False
219,mesh,['mesh'],False
220,oatmeal,['oatmeal'],True
221,artichoke,['artichoke'],True
222,remover:spot,['remover:spot'],False
223,coriander,"['coriander', 'cilantro']",True
224,mocha,['mocha'],True
225,quorn,['quorn'],True
226,soup,['soup'],True
227,turmeric,['turmeric'],True
228,knob,"['knob', 'dial']",False
229,seed,"['seed', 'pit', 'seed:squash']",True
230,boxer,"['boxer', 'short:boxer']",False
231,paprika,['paprika'],True
232,juicer:lime,['juicer:lime'],True
233,guard:hand,"['guard:hand', 'guard']",False
234,apple,['apple'],True
235,tahini,['tahini'],True
236,finger,['finger'],False
237,salami,"['salami', 'ham', 'prosciutto']",True
238,mayonnaise,['mayonnaise'],True
239,biscuit,"['biscuit', 'cookie', 'cooky', 'cracker']",True
240,pear,['pear'],True
241,mortar,"['mortar', 'bowl:mortar']",True
242,berry,['berry'],True
243,beef,"['beef', 'steak']",True
244,squeezer:lime,['squeezer:lime'],True
245,tail,['tail'],True
246,stick:crab,['stick:crab'],True
247,supplement,['supplement'],False
248,phone,"['phone', 'mobile']",False
249,shell:egg,"['shell:egg', 'eggshell', 'shell']",True
250,pith,['pith'],True
251,ring:onion,"['ring:onion', 'ring']",True
252,cherry,['cherry'],True
253,cake,['cake'],True
254,sprout,['sprout'],True
255,almond,['almond'],True
256,mint,['mint'],True
257,flake:chilli,"['flake:chilli', 'flake']",True
258,cutter:pizza,"['cutter:pizza', 'cutter']",True
259,nesquik,['nesquik'],True
260,blender,"['blender', 'mixer']",True
261,scrap,['scrap'],False
262,backpack,['backpack'],False
263,melon,['melon'],True
264,breadcrumb,"['breadcrumb', 'crumb:bread']",True
265,sticker,['sticker'],False
266,shrimp,['shrimp'],True
267,smoothie,['smoothie'],True
268,grass:lemon,['grass:lemon'],True
269,ketchup,['ketchup'],True
270,slicer,"['slicer', 'device:cutting']",True
271,stand,['stand'],False
272,dumpling,['dumpling'],True
273,watch,['watch'],False
274,beer,['beer'],True
275,power,['power'],False
276,heater,['heater'],False
277,basil,"['basil', 'plant:basil']",True
278,cinnamon,['cinnamon'],True
279,crisp,['crisp'],True
280,asparagus,['asparagus'],True
281,drink,"['drink', 'soda']",True
282,fishcakes,"['fishcakes', 'cake:fish', 'fishcake']",True
283,mustard,['mustard'],True
284,caper,['caper'],True
285,whetstone,"['whetstone', 'sharpener:knife', 'sharpener', 'stone:sharpening', 'stone']",False
286,candle,['candle'],False
287,control:remote,"['control:remote', 'control', 'remote']",False
288,instruction,['instruction'],True
289,cork,"['cork', 'stopper']",True
290,tab,['tab'],False
291,masher,['masher'],True
292,part,['part'],False
293,muffin,['muffin'],True
294,shaker:pepper,['shaker:pepper'],True
295,garni:bouquet,['garni:bouquet'],True
296,popcorn,['popcorn'],True
297,envelope,['envelope'],False
298,chocolate,['chocolate'],True
299,spot,['spot'],False
300,window,['window'],False
301,syrup,"['syrup', 'syrup:maple']",True
302,bar:cereal,"['bar:cereal', 'bar']",True
303,croissant,['croissant'],True
304,coke,['coke'],True
305,stereo,['stereo'],False
306,alarm,['alarm'],False
307,recipe,['recipe'],True
308,handle,['handle'],False
309,sleeve,['sleeve'],False
310,cumin,"['cumin', 'jeera']",True
311,wire,['wire'],False
312,label,['label'],False
313,fire,['fire'],True
314,presser,"['presser', 'squeezer', 'press', 'press:garlic', 'juicer']",True
315,air,['air'],False
316,mouse,['mouse'],False
317,boiler,['boiler'],False
318,rest,"['rest', 'rest:spoon', 'holder:spoon']",False
319,tablet,['tablet'],False
320,poster,['poster'],False
321,trousers,['trousers'],False
322,form,['form'],False
323,rubber,"['rubber', 'band:rubber']",False
324,rug,['rug'],False
325,sheets,"['sheets', 'sheet']",False
326,pepper:cayenne,['pepper:cayenne'],True
327,waffle,['waffle'],True
328,pineapple,['pineapple'],True
329,turkey,['turkey'],True
330,alcohol,['alcohol'],True
331,rosemary,['rosemary'],True
332,lead,['lead'],False
333,book,"['book', 'geographic:national']",False
334,rim,['rim'],False
335,gravy,['gravy'],True
336,straw,['straw'],False
337,hat,['hat'],False
338,cd,['cd'],False
339,slipper,['slipper'],False
340,casserole,['casserole'],True
341,ladder,['ladder'],False
342,jambalaya,['jambalaya'],True
343,wall,['wall'],False
344,tube,['tube'],False
345,lamp,['lamp'],False
346,tarragon,['tarragon'],True
347,heart,['heart'],True
348,funnel,['funnel'],True
349,whisk,['whisk'],True
350,driver:screw,['driver:screw'],False
351,trouser,['trouser'],False
